,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,Dissolved - Max,pH - Min,pH - Max,BOD (mg/L) - Min,BOD (mg/L) - Max,Total Coliform (MPN/100ml) - Min,Total Coliform (MPN/100ml) - Max
37,CANAL,GUJARAT,27.0,33.0,4.8,7.6,7.4,8.3,1.0,1.3,4.0,21.0
38,LAKE,ASSAM,23.0,34.0,5.1,9.6,6.6,8.0,3.5,5.8,360.0,3500.0
39,LAKE,ASSAM,23.0,32.0,5.6,10.4,7.0,9.2,5.0,6.0,2.0,1600.0
40,LAKE,ASSAM,21.0,34.0,5.2,5.6,7.0,7.6,1.9,2.5,720.0,1400.0
41,LAKE,ASSAM,23.0,27.0,5.1,5.5,6.8,7.4,2.3,5.5,730.0,1500.0
42,LAKE,ASSAM,16.0,34.0,4.3,5.5,7.0,7.5,2.3,2.8,720.0,2000.0
43,LAKE,ASSAM,17.0,24.0,5.1,5.8,6.8,7.2,2.2,2.6,620.0,1500.0
44,LAKE,ASSAM,22.0,24.0,4.5,7.8,6.9,7.3,2.0,2.6,600.0,1300.0
45,LAKE,ASSAM,21.0,34.0,5.0,8.0,6.8,7.7,2.0,2.6,620.0,1500.0
46,LAKE,ASSAM,19.0,32.0,5.1,7.4,6.6,7.5,1.9,2.5,600.0,910.0
47,LAKE,ASSAM,20.0,37.0,0.3,6.2,7.1,7.7,21.0,26.2,1500.0,3600.0
48,LAKE,ASSAM,22.0,35.0,5.0,5.6,7.0,7.5,2.1,2.6,720.0,2000.0
49,LAKE,ASSAM,23.0,27.0,5.1,9.7,6.6,7.2,1.9,2.7,730.0,1500.0
50,LAKE,ASSAM,22.0,26.0,5.0,9.5,6.7,8.0,1.8,2.7,610.0,1400.0
51,LAKE,ASSAM,22.0,24.0,4.0,5.5,6.5,7.3,2.1,2.7,910.0,1400.0
52,LAKE,ASSAM,22.0,23.0,5.0,7.1,6.8,7.3,2.0,2.4,720.0,1500.0
53,LAKE,ASSAM,21.0,39.0,5.1,6.1,6.8,7.4,2.0,2.4,1100.0,2100.0
54,LAKE,ASSAM,21.0,34.0,5.0,7.2,7.0,7.5,2.0,2.7,600.0,1400.0
55,LAKE,ASSAM,16.0,34.0,4.9,5.9,6.8,7.3,2.0,2.5,910.0,1400.0
