Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,pH - Min,pH - Max,Type Water Body_BEACH,Type Water Body_CANAL,Type Water Body_CREEK,Type Water Body_DRAIN,Type Water Body_LAKE,Type Water Body_MARINE,Type Water Body_POND,Type Water Body_RIVER,Type Water Body_SEA,Type Water Body_STP,Type Water Body_WATER TREATMENT PLANT (RAW WATER),State Name_ANDHRA PRADESH,State Name_ASSAM,State Name_DELHI,State Name_GOA,State Name_GUJARAT,State Name_HARYANA,State Name_HIMACHAL PRADESH,State Name_JHARKHAND,State Name_MADHYA PRADESH,State Name_MAHARASHTRA,State Name_ODISHA,State Name_PUNJAB,State Name_RAJASTHAN,State Name_TAMIL NADU,State Name_TELANGANA,State Name_UTTAR PRADESH,State Name_UTTARAKHAND,water_quality
22.0,24.0,4.6,7.3,8.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.0,26.0,5.1,7.5,8.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.0,25.0,5.4,7.6,8.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.0,21.0,5.6,7.2,8.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28.0,30.0,5.9,7.2,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28.0,32.0,5.9,7.7,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,30.0,5.7,7.4,8.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28.0,30.0,5.5,7.3,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24.0,25.0,1.6,6.7,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,30.0,4.5,7.3,8.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.0,28.0,4.2,7.5,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25.0,27.0,3.4,6.3,8.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,30.0,3.4,7.2,8.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0.3,6.9,7.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,7.1,7.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,31.0,5.0,5.7,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,31.0,4.4,5.9,7.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,30.0,4.2,6.7,7.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,33.0,4.8,7.4,8.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23.0,34.0,5.1,6.6,8.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,32.0,5.6,7.0,9.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,34.0,5.2,7.0,7.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23.0,27.0,5.1,6.8,7.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,34.0,4.3,7.0,7.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.0,24.0,5.1,6.8,7.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.0,24.0,4.5,6.9,7.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21.0,34.0,5.0,6.8,7.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.0,32.0,5.1,6.6,7.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20.0,37.0,0.3,7.1,7.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
