,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,pH - Min,pH - Max,water_quality,Type Water Body_BEACH,Type Water Body_CANAL,Type Water Body_CREEK,Type Water Body_DRAIN,Type Water Body_LAKE,Type Water Body_MARINE,Type Water Body_POND,Type Water Body_RIVER,Type Water Body_SEA,Type Water Body_STP,State Name_ANDHRA PRADESH,State Name_ASSAM,State Name_DELHI,State Name_GOA,State Name_GUJARAT,State Name_HARYANA,State Name_HIMACHAL PRADESH,State Name_MADHYA PRADESH,State Name_MAHARASHTRA,State Name_ODISHA,State Name_PUNJAB,State Name_RAJASTHAN,State Name_TAMIL NADU,State Name_TELANGANA,State Name_UTTAR PRADESH
72,20.0,31.0,5.0,6.9,7.8,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,22.0,35.0,5.0,6.9,7.6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,22.0,35.0,5.6,6.7,7.4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,20.0,34.0,6.8,6.9,7.6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,23.0,38.0,5.1,6.9,7.5,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,22.0,35.0,5.0,6.9,7.4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,23.0,36.0,5.3,6.9,7.9,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,22.0,24.0,5.1,6.5,7.2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,21.0,34.0,5.2,6.8,7.6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,20.0,32.0,5.0,6.8,7.6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,21.0,35.0,5.2,6.6,7.7,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,22.0,36.0,5.0,6.6,7.4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,21.0,34.0,5.0,7.2,8.1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,25.0,32.0,5.3,7.4,8.1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,26.0,29.0,5.0,7.1,8.5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,24.0,29.0,3.2,7.0,7.9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,23.0,29.0,3.8,7.0,8.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,23.0,30.0,2.0,7.0,8.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,24.0,30.0,4.5,7.0,8.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,25.0,30.0,3.4,7.0,7.8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,21.0,25.0,3.6,7.1,8.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,22.0,25.0,3.6,7.1,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,22.0,25.0,3.5,6.8,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,18.0,23.0,3.7,7.1,8.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,25.0,32.0,4.2,6.6,7.7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,27.0,31.0,6.4,7.6,8.2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,27.0,29.0,6.0,7.0,8.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,27.0,30.0,6.1,6.5,7.9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,28.0,31.0,6.0,7.7,8.3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,27.0,32.0,5.8,6.7,7.8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,22.0,29.0,2.8,6.8,8.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,24.0,30.0,1.8,6.6,8.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,24.0,26.0,5.4,7.2,7.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,25.0,29.0,5.5,6.7,7.9,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,22.0,28.0,2.3,7.1,7.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,23.0,27.0,2.2,7.0,8.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,17.0,27.0,0.15,7.1,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,27.0,31.0,5.0,6.1,7.9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,27.0,31.0,4.5,6.4,7.8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,27.0,31.0,4.2,6.1,7.7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,26.0,30.0,4.6,7.6,8.1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
