,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,pH - Min,pH - Max,water_quality
30,CANAL,ANDHRA PRADESH,25.0,30.0,4.5,7.3,8.3,2
31,CANAL,ANDHRA PRADESH,22.0,28.0,4.2,7.5,8.0,2
32,CANAL,ANDHRA PRADESH,25.0,27.0,3.4,6.3,8.4,0
33,CANAL,ANDHRA PRADESH,22.0,30.0,3.4,7.2,8.4,0
34,CANAL,GOA,27.0,31.0,5.0,5.7,7.3,0
35,CANAL,GOA,26.0,31.0,4.4,5.9,7.4,0
36,CANAL,GOA,26.0,30.0,4.2,6.7,7.8,2
37,CANAL,GUJARAT,27.0,33.0,4.8,7.4,8.3,2
38,LAKE,ASSAM,23.0,34.0,5.1,6.6,8.0,0
39,LAKE,ASSAM,23.0,32.0,5.6,7.0,9.2,0
40,LAKE,ASSAM,21.0,34.0,5.2,7.0,7.6,2
41,LAKE,ASSAM,23.0,27.0,5.1,6.8,7.4,0
42,LAKE,ASSAM,16.0,34.0,4.3,7.0,7.5,2
43,LAKE,ASSAM,17.0,24.0,5.1,6.8,7.2,2
44,LAKE,ASSAM,22.0,24.0,4.5,6.9,7.3,2
45,LAKE,ASSAM,21.0,34.0,5.0,6.8,7.7,2
46,LAKE,ASSAM,19.0,32.0,5.1,6.6,7.5,2
47,LAKE,ASSAM,20.0,37.0,0.3,7.1,7.7,0
48,LAKE,ASSAM,22.0,35.0,5.0,7.0,7.5,2
49,LAKE,ASSAM,23.0,27.0,5.1,6.6,7.2,2
50,LAKE,ASSAM,22.0,26.0,5.0,6.7,8.0,2
51,LAKE,ASSAM,22.0,24.0,4.0,6.5,7.3,2
52,LAKE,ASSAM,22.0,23.0,5.0,6.8,7.3,2
53,LAKE,ASSAM,21.0,39.0,5.1,6.8,7.4,2
54,LAKE,ASSAM,21.0,34.0,5.0,7.0,7.5,2
55,LAKE,ASSAM,16.0,34.0,4.9,6.8,7.3,2
56,LAKE,ASSAM,18.0,36.0,5.3,6.8,8.0,2
57,LAKE,ASSAM,18.0,30.0,0.3,7.0,7.5,0
58,LAKE,ASSAM,20.0,24.0,4.5,6.8,7.3,2
59,LAKE,ASSAM,19.0,30.0,0.3,7.0,7.5,0
60,POND,ASSAM,19.0,23.0,4.1,6.8,7.3,2
61,POND,ASSAM,18.0,32.0,5.0,6.7,7.8,2
62,POND,ASSAM,22.0,34.0,6.1,6.8,7.8,2
63,POND,ASSAM,20.0,34.0,5.2,6.8,7.5,2
64,POND,ASSAM,21.0,36.0,5.1,6.8,7.8,2
65,POND,ASSAM,20.0,36.0,5.1,7.9,8.2,2
66,POND,ASSAM,22.0,35.0,5.4,7.0,7.9,2
67,POND,ASSAM,22.0,35.0,5.0,6.7,7.5,2
68,POND,ASSAM,21.0,30.0,6.8,6.8,7.6,2
69,POND,ASSAM,21.0,35.0,5.7,6.7,7.5,2
70,POND,ASSAM,20.0,34.0,7.0,6.8,7.5,2
71,POND,ASSAM,20.0,32.0,5.1,6.9,7.6,2
72,POND,ASSAM,20.0,31.0,5.0,6.9,7.8,2
73,POND,ASSAM,22.0,35.0,5.0,6.9,7.6,2
74,POND,ASSAM,22.0,35.0,5.6,6.7,7.4,2
75,POND,ASSAM,20.0,34.0,6.8,6.9,7.6,2
76,POND,ASSAM,23.0,38.0,5.1,6.9,7.5,2
